"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","H.poly.EPG","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7711","79789358","79789358-2012-11-06",0,30,2012-11-06,"HA1",2012,"M","Adult","2.85714285714286",0,0,6,0,2,28,0.0666666666666667,4,39,0.0930232558139535,5,53,0.0862068965517241,8,73,0.0987654320987654,9,86,0.0947368421052632,10,104,0.087719298245614,12,127,0.0863309352517986,13,147,0.08125,14,154,0.0833333333333333,23,212,0.0978723404255319,34,241,0.123636363636364,45,278,0.139318885448916,65,331,0.164141414141414,76,376,0.168141592920354,96,431,0.182163187855787,107,478,0.182905982905983
"7712","79789358","79789358-2012-10-24",0,60,2012-10-24,"HA1",2012,"M","Adult","7.69230769230769",0,0,5,0,2,17,0.105263157894737,5,27,0.15625,5,45,0.1,8,66,0.108108108108108,11,70,0.135802469135802,16,82,0.163265306122449,18,105,0.146341463414634,19,115,0.141791044776119,24,130,0.155844155844156,36,186,0.162162162162162,46,238,0.161971830985915,57,276,0.171171171171171,74,308,0.193717277486911,86,349,0.197701149425287,94,390,0.194214876033058,103,431,0.192883895131086
"7713","79789358","79789358-2012-11-20",10,30,2012-11-20,"HA1",2012,"M","Adult","78.9473684210526",0,2,7,0.222222222222222,5,30,0.142857142857143,9,56,0.138461538461538,10,72,0.121951219512195,11,109,0.0916666666666667,13,119,0.0984848484848485,15,136,0.0993377483443709,16,175,0.0837696335078534,19,194,0.0892018779342723,22,209,0.0952380952380952,34,252,0.118881118881119,44,290,0.131736526946108,64,340,0.158415841584158,81,408,0.165644171779141,103,466,0.181019332161687,118,527,0.182945736434109,124,546,0.185074626865672
"7730","79790568","79790568-2012-09-27",90,70,2012-09-27,"HA1",2012,"M","Adult","17.7777777777778",0,4,2,0.666666666666667,5,11,0.3125,8,19,0.296296296296296,9,22,0.290322580645161,15,29,0.340909090909091,18,34,0.346153846153846,19,37,0.339285714285714,21,50,0.295774647887324,23,57,0.2875,23,60,0.27710843373494,30,86,0.258620689655172,40,109,0.268456375838926,45,143,0.23936170212766,51,185,0.216101694915254,61,223,0.214788732394366,66,263,0.200607902735562,67,276,0.19533527696793
"7731","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult","0",1,0,4,0,8,16,0.333333333333333,12,29,0.292682926829268,14,33,0.297872340425532,17,50,0.253731343283582,20,55,0.266666666666667,23,57,0.2875,25,62,0.28735632183908,31,70,0.306930693069307,31,75,0.292452830188679,36,96,0.272727272727273,44,122,0.265060240963855,53,156,0.253588516746411,59,206,0.222641509433962,70,257,0.214067278287462,78,304,0.204188481675393,79,324,0.196029776674938
"7732","79790568","79790568-2012-10-23",100,90,2012-10-23,"HA1",2012,"M","Adult","0",0,2,3,0.4,6,12,0.333333333333333,8,19,0.296296296296296,10,28,0.263157894736842,14,44,0.241379310344828,15,46,0.245901639344262,19,54,0.26027397260274,24,62,0.27906976744186,25,67,0.271739130434783,25,72,0.257731958762887,43,99,0.302816901408451,50,120,0.294117647058824,60,146,0.29126213592233,73,186,0.281853281853282,78,247,0.24,96,299,0.243037974683544,103,341,0.231981981981982
"7733","79790568","79790568-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult","2.08333333333333",0,1,4,0.2,9,22,0.290322580645161,14,45,0.23728813559322,18,54,0.25,23,77,0.23,28,85,0.247787610619469,31,88,0.260504201680672,35,96,0.267175572519084,43,108,0.28476821192053,44,117,0.273291925465839,54,147,0.26865671641791,65,186,0.258964143426295,76,244,0.2375,86,311,0.216624685138539,102,377,0.21294363256785,113,449,0.201067615658363,114,478,0.192567567567568
"7734","79790568","79790568-2012-12-04",100,90,2012-12-04,"HA1",2012,"M","Adult","21.7391304347826",0,2,11,0.153846153846154,7,22,0.241379310344828,10,34,0.227272727272727,12,46,0.206896551724138,17,69,0.197674418604651,19,74,0.204301075268817,24,85,0.220183486238532,29,98,0.228346456692913,30,104,0.223880597014925,30,110,0.214285714285714,50,149,0.251256281407035,60,186,0.24390243902439,72,229,0.239202657807309,87,294,0.228346456692913,93,376,0.198294243070362,111,449,0.198214285714286,122,504,0.194888178913738
"7735","79790568","79790568-2012-11-21",90,60,2012-11-21,"HA1",2012,"M","Adult","95.2380952380952",0,2,5,0.285714285714286,7,17,0.291666666666667,12,29,0.292682926829268,19,45,0.296875,27,78,0.257142857142857,29,80,0.26605504587156,32,93,0.256,39,125,0.23780487804878,47,138,0.254054054054054,49,146,0.251282051282051,66,222,0.229166666666667,79,264,0.230320699708455,87,322,0.212713936430318,103,374,0.215932914046122,115,474,0.195246179966044,124,547,0.184798807749627,124,568,0.179190751445087
"7739","79790568","79790568-2012-10-24",80,80,2012-10-24,"HA1",2012,"M","Adult","0",0,0,3,0,4,14,0.222222222222222,14,31,0.311111111111111,19,49,0.279411764705882,31,79,0.281818181818182,38,88,0.301587301587302,40,93,0.300751879699248,42,100,0.295774647887324,44,107,0.291390728476821,46,109,0.296774193548387,62,139,0.308457711442786,68,190,0.263565891472868,73,250,0.226006191950464,91,314,0.224691358024691,105,371,0.220588235294118,107,417,0.204198473282443,108,430,0.200743494423792
"7749","79792086","79792086-2012-10-25",100,10,2012-10-25,"HA1",2012,"F","NotAdult","0",1,4,7,0.363636363636364,7,17,0.291666666666667,7,20,0.259259259259259,7,31,0.184210526315789,8,46,0.148148148148148,9,49,0.155172413793103,10,58,0.147058823529412,11,70,0.135802469135802,12,75,0.137931034482759,13,77,0.144444444444444,21,98,0.176470588235294,32,125,0.203821656050955,46,162,0.221153846153846,58,215,0.212454212454212,72,275,0.207492795389049,87,349,0.19954128440367,96,410,0.189723320158103
"7752","79792086","79792086-2012-11-20",100,20,2012-11-20,"HA1",2012,"F","Adult","0",0,1,7,0.125,6,28,0.176470588235294,7,38,0.155555555555556,10,54,0.15625,12,65,0.155844155844156,13,74,0.149425287356322,14,79,0.150537634408602,15,86,0.148514851485149,18,94,0.160714285714286,19,102,0.15702479338843,31,137,0.18452380952381,49,175,0.21875,60,215,0.218181818181818,74,278,0.210227272727273,91,354,0.204494382022472,106,429,0.198130841121495,115,505,0.185483870967742
"7753","79792086","79792086-2012-12-18",100,20,2012-12-18,"HA1",2012,"F","Adult","1.76991150442478",0,1,11,0.0833333333333333,6,37,0.13953488372093,7,48,0.127272727272727,10,68,0.128205128205128,12,79,0.131868131868132,13,89,0.127450980392157,14,94,0.12962962962963,15,101,0.129310344827586,18,109,0.141732283464567,20,120,0.142857142857143,32,165,0.16243654822335,50,213,0.190114068441065,61,264,0.187692307692308,77,337,0.185990338164251,94,438,0.176691729323308,110,526,0.172955974842767,119,611,0.163013698630137
"7771","79792581","79792581-2012-10-11",90,70,2012-10-11,"HA1",2012,"F","Adult","0",0,4,3,0.571428571428571,8,18,0.307692307692308,11,32,0.255813953488372,14,38,0.269230769230769,22,49,0.309859154929577,26,58,0.30952380952381,29,64,0.311827956989247,34,82,0.293103448275862,38,90,0.296875,38,95,0.285714285714286,49,129,0.275280898876405,63,162,0.28,73,202,0.265454545454545,82,250,0.246987951807229,94,300,0.238578680203046,100,358,0.218340611353712,102,378,0.2125
"7772","79792581","79792581-2012-10-24",90,40,2012-10-24,"HA1",2012,"F","Adult","0",0,0,3,0,3,19,0.136363636363636,6,32,0.157894736842105,9,40,0.183673469387755,12,60,0.166666666666667,15,65,0.1875,22,73,0.231578947368421,29,90,0.243697478991597,33,103,0.242647058823529,35,111,0.23972602739726,48,151,0.241206030150754,63,201,0.238636363636364,77,242,0.241379310344828,86,296,0.225130890052356,98,364,0.212121212121212,102,431,0.191369606003752,108,439,0.197440585009141
"7876","79795600","79795600-2012-09-11",100,40,2012-09-11,"HA1",2012,"M","Adult","0",0,0,1,0,0,8,0,0,11,0,2,15,0.117647058823529,6,17,0.260869565217391,6,19,0.24,7,23,0.233333333333333,11,28,0.282051282051282,12,34,0.260869565217391,15,37,0.288461538461538,19,61,0.2375,25,72,0.257731958762887,28,94,0.229508196721311,33,115,0.222972972972973,36,144,0.2,44,178,0.198198198198198,45,208,0.177865612648221
"7882","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult","0",1,1,4,0.2,2,13,0.133333333333333,3,13,0.1875,3,19,0.136363636363636,4,26,0.133333333333333,6,33,0.153846153846154,10,42,0.192307692307692,13,49,0.209677419354839,17,56,0.232876712328767,18,60,0.230769230769231,22,90,0.196428571428571,28,115,0.195804195804196,37,139,0.210227272727273,46,164,0.219047619047619,49,190,0.205020920502092,51,222,0.186813186813187,55,247,0.182119205298013
"7893","79796354","79796354-2012-08-28",10,0,2012-08-28,"HA1",2012,"M","Adult","0",0,1,2,0.333333333333333,1,15,0.0625,1,20,0.0476190476190476,1,24,0.04,1,33,0.0294117647058824,1,34,0.0285714285714286,2,38,0.05,2,40,0.0476190476190476,2,44,0.0434782608695652,2,46,0.0416666666666667,3,55,0.0517241379310345,6,73,0.0759493670886076,8,87,0.0842105263157895,11,105,0.0948275862068965,15,115,0.115384615384615,17,136,0.111111111111111,20,148,0.119047619047619
"7894","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult","2.56410256410256",1,0,1,0,1,5,0.166666666666667,2,9,0.181818181818182,5,17,0.227272727272727,6,33,0.153846153846154,6,35,0.146341463414634,8,36,0.181818181818182,8,40,0.166666666666667,10,44,0.185185185185185,10,48,0.172413793103448,14,65,0.177215189873418,18,88,0.169811320754717,25,110,0.185185185185185,32,153,0.172972972972973,42,189,0.181818181818182,45,205,0.18,47,209,0.18359375
"7895","79796354","79796354-2012-09-25",10,20,2012-09-25,"HA1",2012,"M","Adult","9.09090909090909",0,0,3,0,1,23,0.0416666666666667,2,35,0.0540540540540541,4,46,0.08,7,62,0.101449275362319,7,70,0.0909090909090909,7,76,0.0843373493975904,7,84,0.0769230769230769,7,92,0.0707070707070707,8,97,0.0761904761904762,17,121,0.123188405797101,21,137,0.132911392405063,23,156,0.128491620111732,33,177,0.157142857142857,40,217,0.155642023346304,54,247,0.179401993355482,58,259,0.182965299684543
"7896","79796354","79796354-2012-08-29",40,30,2012-08-29,"HA1",2012,"M","Adult","0",0,0,0,NA,0,5,0,1,11,0.0833333333333333,1,15,0.0625,4,26,0.133333333333333,5,31,0.138888888888889,6,37,0.13953488372093,6,46,0.115384615384615,6,67,0.0821917808219178,7,71,0.0897435897435897,13,117,0.1,16,131,0.108843537414966,23,150,0.132947976878613,31,171,0.153465346534653,33,179,0.155660377358491,33,179,0.155660377358491,33,179,0.155660377358491
"7898","79796354","79796354-2012-09-27",100,30,2012-09-27,"HA1",2012,"M","Adult","10",0,0,6,0,1,15,0.0625,1,18,0.0526315789473684,4,24,0.142857142857143,7,27,0.205882352941176,9,29,0.236842105263158,9,30,0.230769230769231,10,34,0.227272727272727,10,43,0.188679245283019,10,47,0.175438596491228,21,73,0.223404255319149,25,88,0.221238938053097,35,109,0.243055555555556,38,149,0.203208556149733,48,188,0.203389830508475,58,234,0.198630136986301,62,271,0.186186186186186
"7921","79797266","79797266-2012-09-11",20,30,2012-09-11,"HA1",2012,"F","NotAdult","0",0,0,0,NA,2,10,0.166666666666667,3,19,0.136363636363636,4,28,0.125,5,53,0.0862068965517241,6,60,0.0909090909090909,6,67,0.0821917808219178,9,82,0.0989010989010989,10,92,0.0980392156862745,10,97,0.0934579439252336,15,112,0.118110236220472,18,129,0.122448979591837,26,150,0.147727272727273,32,180,0.150943396226415,41,201,0.169421487603306,47,211,0.182170542635659,47,211,0.182170542635659
"7926","79797359","79797359-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult","0",0,0,2,0,1,13,0.0714285714285714,3,21,0.125,4,28,0.125,8,45,0.150943396226415,8,50,0.137931034482759,9,55,0.140625,11,67,0.141025641025641,11,77,0.125,13,80,0.139784946236559,20,115,0.148148148148148,26,149,0.148571428571429,32,163,0.164102564102564,38,190,0.166666666666667,47,211,0.182170542635659,47,211,0.182170542635659,47,211,0.182170542635659
"7941","79797793","79797793-2012-09-28",0,10,2012-09-28,"HA1",2012,"F","Adult","0",0,0,4,0,1,24,0.04,2,32,0.0588235294117647,3,39,0.0714285714285714,4,51,0.0727272727272727,4,53,0.0701754385964912,5,58,0.0793650793650794,6,73,0.0759493670886076,9,77,0.104651162790698,9,79,0.102272727272727,9,105,0.0789473684210526,16,129,0.110344827586207,23,154,0.129943502824859,30,174,0.147058823529412,42,208,0.168,53,251,0.174342105263158,67,287,0.189265536723164
"7942","79797793","79797793-2012-11-06",20,0,2012-11-06,"HA1",2012,"F","Adult","0",0,0,3,0,2,28,0.0666666666666667,3,40,0.0697674418604651,3,58,0.0491803278688525,5,77,0.0609756097560976,7,91,0.0714285714285714,10,96,0.0943396226415094,12,105,0.102564102564103,12,117,0.0930232558139535,15,120,0.111111111111111,19,168,0.101604278074866,24,205,0.104803493449782,33,244,0.11913357400722,48,292,0.141176470588235,65,359,0.153301886792453,81,409,0.16530612244898,104,463,0.18342151675485
"7943","79797793","79797793-2012-11-20",0,10,2012-11-20,"HA1",2012,"F","Adult","0",0,0,9,0,1,40,0.024390243902439,3,56,0.0508474576271186,4,72,0.0526315789473684,6,91,0.0618556701030928,7,94,0.0693069306930693,9,104,0.079646017699115,10,123,0.075187969924812,14,127,0.099290780141844,15,130,0.103448275862069,16,173,0.0846560846560847,25,216,0.103734439834025,35,259,0.119047619047619,48,297,0.139130434782609,70,361,0.162412993039443,91,431,0.174329501915709,111,491,0.184385382059801
"7944","79797793","79797793-2012-09-13",0,20,2012-09-13,"HA1",2012,"F","Adult","0",0,0,4,0,0,14,0,1,24,0.04,1,37,0.0263157894736842,4,50,0.0740740740740741,5,54,0.0847457627118644,5,59,0.078125,7,65,0.0972222222222222,7,76,0.0843373493975904,7,82,0.0786516853932584,9,104,0.079646017699115,17,126,0.118881118881119,23,137,0.14375,26,163,0.137566137566138,35,192,0.154185022026432,43,217,0.165384615384615,50,241,0.171821305841924
"7945","79797793","79797793-2012-10-09",10,20,2012-10-09,"HA1",2012,"F","Adult","0",0,0,4,0,2,28,0.0666666666666667,3,43,0.0652173913043478,5,55,0.0833333333333333,9,73,0.109756097560976,9,85,0.0957446808510638,9,91,0.09,9,101,0.0818181818181818,9,110,0.0756302521008403,10,117,0.078740157480315,22,147,0.130177514792899,27,169,0.137755102040816,31,199,0.134782608695652,45,227,0.165441176470588,56,277,0.168168168168168,73,320,0.185750636132316,77,337,0.185990338164251
"7948","79797793","79797793-2012-10-23",10,30,2012-10-23,"HA1",2012,"F","Adult","0",0,1,6,0.142857142857143,3,23,0.115384615384615,7,43,0.14,8,55,0.126984126984127,9,85,0.0957446808510638,10,93,0.0970873786407767,12,106,0.101694915254237,13,135,0.0878378378378378,16,148,0.0975609756097561,19,156,0.108571428571429,29,187,0.134259259259259,38,216,0.149606299212598,54,249,0.178217821782178,69,299,0.1875,87,346,0.200923787528868,100,394,0.202429149797571,106,407,0.206627680311891
"7954","79797793","79797793-2012-12-04",10,10,2012-12-04,"HA1",2012,"F","Adult","0",0,0,13,0,3,48,0.0588235294117647,4,80,0.0476190476190476,8,91,0.0808080808080808,9,118,0.0708661417322835,10,120,0.0769230769230769,12,126,0.0869565217391304,16,142,0.10126582278481,16,152,0.0952380952380952,16,155,0.0935672514619883,23,206,0.100436681222707,33,254,0.114982578397213,41,300,0.120234604105572,57,363,0.135714285714286,79,426,0.156435643564356,106,530,0.166666666666667,118,565,0.172767203513909
"7955","79797834","79797834-2012-08-28",60,80,2012-08-28,"HA1",2012,"F","NotAdult","0",1,0,0,NA,0,3,0,2,5,0.285714285714286,4,11,0.266666666666667,6,23,0.206896551724138,6,29,0.171428571428571,7,30,0.189189189189189,9,36,0.2,12,43,0.218181818181818,14,46,0.233333333333333,17,70,0.195402298850575,24,91,0.208695652173913,24,109,0.180451127819549,27,131,0.170886075949367,28,157,0.151351351351351,29,167,0.147959183673469,29,167,0.147959183673469
"7960","79797884","79797884-2012-10-24",30,80,2012-10-24,"HA1",2012,"M","Adult","0",0,0,0,NA,1,7,0.125,4,13,0.235294117647059,11,35,0.239130434782609,20,73,0.21505376344086,23,88,0.207207207207207,25,100,0.2,33,122,0.212903225806452,43,142,0.232432432432432,44,149,0.227979274611399,63,197,0.242307692307692,71,246,0.22397476340694,88,307,0.222784810126582,97,369,0.208154506437768,101,418,0.194605009633911,107,437,0.196691176470588,108,439,0.197440585009141
"7961","79797884","79797884-2012-11-21",100,90,2012-11-21,"HA1",2012,"M","Adult","0",0,2,9,0.181818181818182,6,19,0.24,9,29,0.236842105263158,11,40,0.215686274509804,16,61,0.207792207792208,18,65,0.216867469879518,22,76,0.224489795918367,27,87,0.236842105263158,28,92,0.233333333333333,28,98,0.222222222222222,48,134,0.263736263736264,58,169,0.255506607929515,70,209,0.25089605734767,85,269,0.240112994350282,91,348,0.207289293849658,109,418,0.206831119544592,120,472,0.202702702702703
"7962","79797893","79797893-2012-08-30",0,30,2012-08-30,"HA1",2012,"M","Adult","0",0,0,2,0,1,12,0.0769230769230769,1,16,0.0588235294117647,1,21,0.0454545454545455,2,34,0.0555555555555556,3,39,0.0714285714285714,3,47,0.06,5,54,0.0847457627118644,6,66,0.0833333333333333,6,68,0.0810810810810811,9,87,0.09375,13,99,0.116071428571429,16,110,0.126984126984127,19,130,0.12751677852349,21,148,0.124260355029586,32,168,0.16,35,184,0.159817351598174
"7979","84587833","84587833-2012-09-25",70,50,2012-09-25,"HA1",2012,"F","Adult","0",0,0,2,0,4,5,0.444444444444444,5,10,0.333333333333333,6,13,0.315789473684211,9,26,0.257142857142857,13,33,0.282608695652174,14,35,0.285714285714286,18,47,0.276923076923077,18,65,0.216867469879518,20,72,0.217391304347826,33,123,0.211538461538462,42,169,0.199052132701422,53,207,0.203846153846154,56,245,0.186046511627907,60,261,0.186915887850467,60,261,0.186915887850467,60,261,0.186915887850467
"7980","84587833","84587833-2012-08-29",90,60,2012-08-29,"HA1",2012,"F","Adult","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
