"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","H.poly.EPG","EhungINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7090","79632292","79632292-2012-09-25",70,20,2012-09-25,"HA1",2012,"M","Adult","0",0,0,0,NA,2,5,0.285714285714286,2,12,0.142857142857143,3,18,0.142857142857143,4,29,0.121212121212121,7,35,0.166666666666667,9,44,0.169811320754717,14,57,0.197183098591549,16,63,0.20253164556962,17,69,0.197674418604651,20,107,0.15748031496063,24,135,0.150943396226415,30,190,0.136363636363636,39,237,0.141304347826087,50,269,0.156739811912226,53,285,0.156804733727811,54,291,0.156521739130435
"7091","79632292","79632292-2012-09-13",100,10,2012-09-13,"HA1",2012,"M","Adult","9.09090909090909",1,2,4,0.333333333333333,4,8,0.333333333333333,4,10,0.285714285714286,5,17,0.227272727272727,6,24,0.2,6,27,0.181818181818182,6,31,0.162162162162162,8,35,0.186046511627907,8,38,0.173913043478261,8,38,0.173913043478261,11,45,0.196428571428571,14,65,0.177215189873418,17,95,0.151785714285714,21,124,0.144827586206897,26,164,0.136842105263158,33,217,0.132,40,252,0.136986301369863
"7093","79632292","79632292-2012-12-04",30,0,2012-12-04,"HA1",2012,"M","Adult","140.909090909091",0,0,11,0,0,21,0,4,30,0.117647058823529,6,48,0.111111111111111,9,75,0.107142857142857,9,89,0.0918367346938776,10,103,0.0884955752212389,14,122,0.102941176470588,18,154,0.104651162790698,20,166,0.10752688172043,29,228,0.11284046692607,35,273,0.113636363636364,51,331,0.133507853403141,75,416,0.152749490835031,88,477,0.155752212389381,110,567,0.162481536189069,120,640,0.157894736842105
"7094","79632292","79632292-2012-09-27",100,0,2012-09-27,"HA1",2012,"M","Adult","0",0,0,0,NA,3,6,0.333333333333333,4,6,0.4,5,14,0.263157894736842,5,17,0.227272727272727,6,19,0.24,8,27,0.228571428571429,8,32,0.2,8,36,0.181818181818182,8,39,0.170212765957447,10,50,0.166666666666667,12,61,0.164383561643836,15,88,0.145631067961165,20,125,0.137931034482759,24,164,0.127659574468085,33,218,0.131474103585657,40,265,0.131147540983607
"7096","79632292","79632292-2012-10-09",40,10,2012-10-09,"HA1",2012,"M","Adult","18.1818181818182",0,0,0,NA,0,8,0,1,25,0.0384615384615385,3,31,0.0882352941176471,4,47,0.0784313725490196,5,50,0.0909090909090909,7,60,0.104477611940299,11,81,0.119565217391304,11,95,0.10377358490566,11,107,0.0932203389830508,20,171,0.104712041884817,32,205,0.135021097046413,43,247,0.148275862068966,53,278,0.16012084592145,61,327,0.157216494845361,75,380,0.164835164835165,75,382,0.164113785557987
"7097","79632292","79632292-2012-10-23",20,10,2012-10-23,"HA1",2012,"M","Adult","4.34782608695652",0,2,4,0.333333333333333,3,23,0.115384615384615,4,45,0.0816326530612245,5,57,0.0806451612903226,7,90,0.0721649484536082,8,99,0.0747663551401869,8,104,0.0714285714285714,11,120,0.083969465648855,13,130,0.0909090909090909,15,137,0.0986842105263158,21,175,0.107142857142857,27,214,0.112033195020747,39,249,0.135416666666667,52,303,0.146478873239437,63,371,0.145161290322581,80,442,0.153256704980843,84,466,0.152727272727273
"7099","79632292","79632292-2012-11-07",70,20,2012-11-07,"HA1",2012,"M","Adult","0",1,0,4,0,2,21,0.0869565217391304,4,29,0.121212121212121,5,41,0.108695652173913,9,66,0.12,13,78,0.142857142857143,15,97,0.133928571428571,23,126,0.154362416107383,27,143,0.158823529411765,28,154,0.153846153846154,36,224,0.138461538461538,47,286,0.141141141141141,62,372,0.142857142857143,80,467,0.146252285191956,97,533,0.153968253968254,102,565,0.152923538230885,103,573,0.152366863905325
"7101","79632292","79632292-2012-11-20",40,10,2012-11-20,"HA1",2012,"M","Adult","2.27272727272727",1,0,2,0,0,14,0,2,38,0.05,8,47,0.145454545454545,9,73,0.109756097560976,10,80,0.111111111111111,13,96,0.119266055045872,18,133,0.119205298013245,20,154,0.114942528735632,20,171,0.104712041884817,32,268,0.106666666666667,52,329,0.136482939632546,67,403,0.142553191489362,82,455,0.152700186219739,94,532,0.150159744408946,109,619,0.149725274725275,109,625,0.14850136239782
"7102","79632292","79632292-2012-12-18",20,30,2012-12-18,"HA1",2012,"M","Adult","165.217391304348",1,1,4,0.2,3,36,0.0769230769230769,8,63,0.112676056338028,14,90,0.134615384615385,20,151,0.116959064327485,22,176,0.111111111111111,27,191,0.123853211009174,34,232,0.12781954887218,38,258,0.128378378378378,40,268,0.12987012987013,58,323,0.152230971128609,70,387,0.153172866520788,84,476,0.15,104,588,0.15028901734104,125,681,0.155086848635236,133,728,0.154471544715447,134,735,0.154200230149597
"7190","79637279","79637279-2012-09-12",0,100,2012-09-12,"HA1",2012,"M","Adult","0",0,1,4,0.2,2,10,0.166666666666667,3,14,0.176470588235294,4,19,0.173913043478261,8,21,0.275862068965517,8,23,0.258064516129032,9,27,0.25,11,33,0.25,12,36,0.25,13,42,0.236363636363636,16,58,0.216216216216216,20,80,0.2,22,101,0.178861788617886,28,134,0.172839506172839,32,168,0.16,38,204,0.15702479338843,40,233,0.146520146520147
"7191","79637279","79637279-2012-09-27",0,80,2012-09-27,"HA1",2012,"M","Adult","0",0,0,2,0,7,9,0.4375,13,18,0.419354838709677,14,30,0.318181818181818,18,40,0.310344827586207,20,48,0.294117647058824,20,50,0.285714285714286,20,57,0.25974025974026,25,69,0.265957446808511,25,73,0.255102040816327,31,106,0.226277372262774,35,131,0.210843373493976,40,164,0.196078431372549,46,211,0.178988326848249,51,250,0.169435215946844,54,283,0.160237388724036,55,300,0.154929577464789
"7218","79638280","79638280-2012-09-27",30,60,2012-09-27,"HA1",2012,"F","Adult","0",1,0,2,0,2,15,0.117647058823529,4,26,0.133333333333333,6,34,0.15,12,51,0.19047619047619,21,61,0.25609756097561,22,71,0.236559139784946,26,80,0.245283018867925,29,101,0.223076923076923,34,113,0.231292517006803,44,192,0.186440677966102,49,235,0.172535211267606,53,278,0.16012084592145,57,308,0.156164383561644,61,319,0.160526315789474,61,319,0.160526315789474,61,319,0.160526315789474
"7243","79638791","79638791-2012-08-30",90,80,2012-08-30,"HA1",2012,"M","Adult","0",0,0,2,0,1,16,0.0588235294117647,2,25,0.0740740740740741,2,28,0.0666666666666667,4,40,0.0909090909090909,4,46,0.08,4,48,0.0769230769230769,5,51,0.0892857142857143,8,56,0.125,9,57,0.136363636363636,11,66,0.142857142857143,14,84,0.142857142857143,17,104,0.140495867768595,23,129,0.151315789473684,28,157,0.151351351351351,32,187,0.146118721461187,33,201,0.141025641025641
"7247","79638837","79638837-2012-10-09",100,80,2012-10-09,"HA1",2012,"M","Adult","0",0,2,7,0.222222222222222,5,17,0.227272727272727,7,24,0.225806451612903,7,29,0.194444444444444,8,43,0.156862745098039,10,54,0.15625,11,54,0.169230769230769,13,65,0.166666666666667,14,74,0.159090909090909,15,80,0.157894736842105,22,111,0.165413533834586,27,137,0.164634146341463,36,166,0.178217821782178,44,202,0.178861788617886,54,252,0.176470588235294,67,298,0.183561643835616,73,343,0.175480769230769
"7248","79638837","79638837-2012-10-23",100,90,2012-10-23,"HA1",2012,"M","Adult","0",0,2,4,0.333333333333333,5,15,0.25,6,23,0.206896551724138,9,31,0.225,12,49,0.19672131147541,12,52,0.1875,14,63,0.181818181818182,14,76,0.155555555555556,15,85,0.15,16,90,0.150943396226415,25,128,0.163398692810458,29,154,0.158469945355191,36,186,0.162162162162162,49,233,0.173758865248227,60,293,0.169971671388102,75,355,0.174418604651163,81,405,0.166666666666667
"7250","79638837","79638837-2012-10-10",100,80,2012-10-10,"HA1",2012,"M","Adult","0",0,2,8,0.2,7,19,0.269230769230769,9,26,0.257142857142857,9,32,0.219512195121951,10,48,0.172413793103448,12,59,0.169014084507042,13,59,0.180555555555556,16,71,0.183908045977011,17,81,0.173469387755102,18,88,0.169811320754717,25,121,0.171232876712329,30,149,0.167597765363128,39,184,0.174887892376682,47,223,0.174074074074074,57,277,0.170658682634731,70,324,0.177664974619289,78,373,0.172949002217295
"7251","79638837","79638837-2012-10-24",80,100,2012-10-24,"HA1",2012,"M","Adult","0",0,1,8,0.111111111111111,2,23,0.08,5,34,0.128205128205128,6,45,0.117647058823529,9,61,0.128571428571429,11,73,0.130952380952381,11,80,0.120879120879121,14,94,0.12962962962963,18,103,0.148760330578512,20,114,0.149253731343284,31,150,0.171270718232044,37,173,0.176190476190476,46,215,0.176245210727969,65,293,0.181564245810056,73,360,0.168591224018476,84,414,0.168674698795181,89,450,0.165120593692022
"7260","79639272","79639272-2012-10-10",0,90,2012-10-10,"HA1",2012,"M","Adult","0",0,1,5,0.166666666666667,4,23,0.148148148148148,9,32,0.219512195121951,11,36,0.234042553191489,16,47,0.253968253968254,17,50,0.253731343283582,17,56,0.232876712328767,23,66,0.258426966292135,24,73,0.247422680412371,25,79,0.240384615384615,32,113,0.220689655172414,36,149,0.194594594594595,45,191,0.190677966101695,49,241,0.168965517241379,58,293,0.165242165242165,64,344,0.156862745098039,72,373,0.161797752808989
"7261","79639272","79639272-2012-10-23",0,80,2012-10-23,"HA1",2012,"M","Adult","0",0,0,5,0,7,20,0.259259259259259,13,32,0.288888888888889,14,47,0.229508196721311,18,62,0.225,20,71,0.21978021978022,20,76,0.208333333333333,20,83,0.194174757281553,27,101,0.2109375,29,108,0.211678832116788,36,152,0.191489361702128,41,190,0.177489177489178,49,238,0.170731707317073,57,305,0.157458563535912,63,359,0.149289099526066,72,411,0.149068322981366,80,441,0.153550863723608
"7262","79639272","79639272-2012-11-07",10,50,2012-11-07,"HA1",2012,"M","Adult","0",0,0,3,0,5,21,0.192307692307692,10,45,0.181818181818182,16,67,0.192771084337349,25,99,0.201612903225806,25,104,0.193798449612403,29,124,0.189542483660131,31,158,0.164021164021164,33,167,0.165,37,187,0.165178571428571,51,262,0.162939297124601,67,343,0.163414634146341,70,385,0.153846153846154,79,446,0.15047619047619,89,501,0.150847457627119,103,570,0.153046062407132,103,573,0.152366863905325
"7263","79639272","79639272-2012-11-20",10,90,2012-11-20,"HA1",2012,"M","Adult","0",0,2,10,0.166666666666667,8,31,0.205128205128205,10,55,0.153846153846154,16,68,0.19047619047619,26,92,0.220338983050847,26,96,0.213114754098361,30,105,0.222222222222222,36,128,0.219512195121951,38,133,0.222222222222222,39,139,0.219101123595506,46,186,0.198275862068966,57,246,0.188118811881188,62,307,0.168021680216802,71,396,0.15203426124197,83,486,0.145869947275923,97,567,0.146084337349398,102,594,0.146551724137931
"7277","79639579","79639579-2012-08-14",80,100,2012-08-14,"HA1",2012,"F","Adult","0",1,0,4,0,1,10,0.0909090909090909,1,12,0.0769230769230769,1,16,0.0588235294117647,1,20,0.0476190476190476,1,23,0.0416666666666667,1,25,0.0384615384615385,2,30,0.0625,3,31,0.0882352941176471,3,31,0.0882352941176471,4,38,0.0952380952380952,6,44,0.12,6,55,0.0983606557377049,10,81,0.10989010989011,11,96,0.102803738317757,14,113,0.110236220472441,16,123,0.115107913669065
"7321","79769626","79769626-2012-10-09",40,80,2012-10-09,"HA1",2012,"F","Adult","0",0,1,1,0.5,3,6,0.333333333333333,4,12,0.25,6,24,0.2,12,47,0.203389830508475,17,63,0.2125,21,71,0.228260869565217,29,98,0.228346456692913,33,121,0.214285714285714,34,131,0.206060606060606,48,199,0.194331983805668,54,247,0.179401993355482,61,284,0.176811594202899,68,327,0.172151898734177,72,374,0.161434977578475,75,382,0.164113785557987,75,382,0.164113785557987
"7322","79769830","79769830-2012-09-11",90,40,2012-09-11,"HA1",2012,"F","Adult","0",1,0,1,0,0,7,0,2,16,0.111111111111111,2,17,0.105263157894737,5,25,0.166666666666667,5,28,0.151515151515152,6,33,0.153846153846154,8,44,0.153846153846154,10,51,0.163934426229508,12,57,0.173913043478261,15,78,0.161290322580645,17,103,0.141666666666667,21,133,0.136363636363636,26,163,0.137566137566138,33,203,0.139830508474576,37,235,0.136029411764706,39,239,0.140287769784173
"7328","79770053","79770053-2012-10-25",10,20,2012-10-25,"HA1",2012,"M","Adult","0",0,0,7,0,2,40,0.0476190476190476,6,66,0.0833333333333333,9,80,0.101123595505618,11,110,0.0909090909090909,12,125,0.0875912408759124,12,134,0.0821917808219178,14,148,0.0864197530864197,15,157,0.0872093023255814,17,165,0.0934065934065934,32,210,0.132231404958678,41,243,0.144366197183099,50,289,0.147492625368732,57,348,0.140740740740741,72,425,0.144869215291751,86,499,0.147008547008547,92,524,0.149350649350649
"7345","79770603","79770603-2012-08-29",30,90,2012-08-29,"HA1",2012,"M","NotAdult","0",0,0,0,NA,0,4,0,1,4,0.2,3,10,0.230769230769231,6,18,0.25,7,22,0.241379310344828,7,27,0.205882352941176,10,35,0.222222222222222,12,38,0.24,12,44,0.214285714285714,14,71,0.164705882352941,20,93,0.176991150442478,21,116,0.153284671532847,23,146,0.136094674556213,25,163,0.132978723404255,30,189,0.136986301369863,32,194,0.141592920353982
"7346","79770603","79770603-2012-09-11",40,100,2012-09-11,"HA1",2012,"M","Adult","0",1,0,3,0,0,12,0,1,14,0.0666666666666667,3,18,0.142857142857143,4,21,0.16,4,24,0.142857142857143,4,31,0.114285714285714,5,41,0.108695652173913,8,46,0.148148148148148,10,54,0.15625,18,90,0.166666666666667,21,117,0.152173913043478,27,139,0.162650602409639,27,160,0.144385026737968,29,186,0.134883720930233,34,213,0.137651821862348,39,238,0.140794223826715
"7356","79770817","79770817-2012-12-19",10,30,2012-12-19,"HA1",2012,"F","Adult","22.2222222222222",0,2,11,0.153846153846154,8,41,0.163265306122449,9,78,0.103448275862069,11,101,0.0982142857142857,19,147,0.114457831325301,20,160,0.111111111111111,24,177,0.119402985074627,32,218,0.128,35,244,0.125448028673835,41,259,0.136666666666667,57,312,0.154471544715447,68,362,0.158139534883721,80,435,0.155339805825243,95,539,0.149842271293375,109,621,0.149315068493151,130,720,0.152941176470588,136,748,0.153846153846154
"7358","79771081","79771081-2012-08-29",40,100,2012-08-29,"HA1",2012,"F","NotAdult","0",0,0,0,NA,0,5,0,1,5,0.166666666666667,3,7,0.3,4,10,0.285714285714286,4,11,0.266666666666667,4,17,0.19047619047619,5,25,0.166666666666667,7,29,0.194444444444444,9,35,0.204545454545455,15,66,0.185185185185185,17,89,0.160377358490566,22,107,0.170542635658915,22,124,0.150684931506849,23,146,0.136094674556213,27,173,0.135,32,194,0.141592920353982
"7369","79772013","79772013-2012-10-25",30,50,2012-10-25,"HA1",2012,"M","Adult","52.2727272727273",0,0,5,0,3,27,0.1,8,43,0.156862745098039,9,52,0.147540983606557,18,76,0.191489361702128,23,93,0.198275862068966,24,105,0.186046511627907,31,139,0.182352941176471,39,176,0.181395348837209,40,188,0.175438596491228,57,306,0.15702479338843,70,406,0.147058823529412,78,453,0.146892655367232,88,515,0.145936981757877,94,536,0.149206349206349,94,536,0.149206349206349,94,536,0.149206349206349
"7370","79772013","79772013-2012-11-07",30,50,2012-11-07,"HA1",2012,"M","Adult","0",0,0,6,0,4,28,0.125,9,45,0.166666666666667,10,54,0.15625,21,79,0.21,27,99,0.214285714285714,28,111,0.201438848920863,35,147,0.192307692307692,44,187,0.19047619047619,46,200,0.186991869918699,64,327,0.163682864450128,78,434,0.15234375,86,482,0.151408450704225,96,549,0.148837209302326,103,573,0.152366863905325,103,573,0.152366863905325,103,573,0.152366863905325
"7371","79772013","79772013-2012-11-21",0,90,2012-11-21,"HA1",2012,"M","Adult","27.2727272727273",0,1,8,0.111111111111111,4,34,0.105263157894737,9,48,0.157894736842105,12,53,0.184615384615385,18,71,0.202247191011236,20,77,0.206185567010309,22,89,0.198198198198198,29,110,0.20863309352518,32,119,0.211920529801325,34,126,0.2125,42,176,0.192660550458716,48,224,0.176470588235294,59,284,0.17201166180758,67,359,0.157276995305164,81,449,0.152830188679245,94,535,0.149443561208267,103,583,0.150145772594752
"7372","79772013","79772013-2012-12-04",10,20,2012-12-04,"HA1",2012,"M","Adult","1.96078431372549",0,0,10,0,4,53,0.0701754385964912,9,83,0.0978260869565217,12,99,0.108108108108108,14,134,0.0945945945945946,15,152,0.0898203592814371,16,162,0.0898876404494382,19,180,0.0954773869346734,20,192,0.0943396226415094,22,202,0.0982142857142857,40,258,0.134228187919463,55,298,0.155807365439093,64,353,0.15347721822542,76,427,0.151093439363817,94,527,0.151368760064412,115,619,0.156675749318801,121,653,0.156330749354005
"7388","79774078","79774078-2012-12-19",10,90,2012-12-19,"HA1",2012,"M","Adult","8.69565217391304",1,3,13,0.1875,9,41,0.18,11,69,0.1375,17,84,0.168316831683168,27,115,0.190140845070423,27,119,0.184931506849315,32,128,0.2,39,153,0.203125,42,159,0.208955223880597,43,171,0.200934579439252,51,232,0.180212014134276,64,300,0.175824175824176,73,373,0.163677130044843,86,479,0.152212389380531,106,583,0.153846153846154,124,683,0.15365551425031,129,713,0.153206650831354
"7401","79774854","79774854-2012-08-29",50,50,2012-08-29,"HA1",2012,"F","Adult","0",1,0,0,NA,2,6,0.25,3,9,0.25,4,14,0.222222222222222,4,21,0.16,4,27,0.129032258064516,6,33,0.153846153846154,9,44,0.169811320754717,9,54,0.142857142857143,10,58,0.147058823529412,17,108,0.136,28,172,0.14,30,189,0.136986301369863,32,194,0.141592920353982,32,194,0.141592920353982,32,194,0.141592920353982,32,194,0.141592920353982
"7421","79775849","79775849-2012-09-27",90,30,2012-09-27,"HA1",2012,"F","Adult","53.3333333333334",0,0,3,0,2,13,0.133333333333333,4,24,0.142857142857143,5,26,0.161290322580645,9,35,0.204545454545455,10,39,0.204081632653061,10,45,0.181818181818182,12,54,0.181818181818182,13,64,0.168831168831169,13,72,0.152941176470588,17,94,0.153153153153153,20,122,0.140845070422535,25,164,0.132275132275132,33,216,0.132530120481928,44,261,0.144262295081967,58,303,0.160664819944598,60,312,0.161290322580645
"7422","79775849","79775849-2012-10-09",100,40,2012-10-09,"HA1",2012,"F","Adult","0",0,1,3,0.25,4,11,0.266666666666667,6,16,0.272727272727273,7,27,0.205882352941176,8,36,0.181818181818182,10,43,0.188679245283019,14,53,0.208955223880597,17,62,0.215189873417722,17,72,0.191011235955056,19,82,0.188118811881188,27,121,0.182432432432432,32,147,0.17877094972067,36,187,0.161434977578475,42,226,0.156716417910448,51,269,0.159375,67,321,0.172680412371134,73,371,0.164414414414414
"7423","79775849","79775849-2012-10-23",100,20,2012-10-23,"HA1",2012,"F","Adult","0",0,1,6,0.142857142857143,5,24,0.172413793103448,7,30,0.189189189189189,9,44,0.169811320754717,10,52,0.161290322580645,10,60,0.142857142857143,11,63,0.148648648648649,12,70,0.146341463414634,14,78,0.152173913043478,15,86,0.148514851485149,21,120,0.148936170212766,31,160,0.162303664921466,37,193,0.160869565217391,44,246,0.151724137931034,54,316,0.145945945945946,63,380,0.142212189616253,78,436,0.151750972762646
"7425","79775849","79775849-2012-11-20",80,40,2012-11-20,"HA1",2012,"F","Adult","0",0,1,5,0.166666666666667,4,18,0.181818181818182,7,36,0.162790697674419,11,59,0.157142857142857,16,95,0.144144144144144,21,114,0.155555555555556,24,125,0.161073825503356,28,147,0.16,38,175,0.178403755868545,39,189,0.171052631578947,50,262,0.16025641025641,61,341,0.151741293532338,76,423,0.152304609218437,94,510,0.155629139072848,106,603,0.14950634696756,109,625,0.14850136239782,109,625,0.14850136239782
"7427","79775849","79775849-2012-09-28",90,30,2012-09-28,"HA1",2012,"F","Adult","0",1,0,4,0,2,16,0.111111111111111,5,30,0.142857142857143,7,32,0.179487179487179,12,42,0.222222222222222,13,46,0.220338983050847,13,53,0.196969696969697,15,65,0.1875,16,75,0.175824175824176,17,83,0.17,21,108,0.162790697674419,24,138,0.148148148148148,31,185,0.143518518518519,40,239,0.14336917562724,51,287,0.150887573964497,65,336,0.162094763092269,67,347,0.161835748792271
"7455","79776883","79776883-2012-10-24",100,90,2012-10-24,"HA1",2012,"M","Adult","0",0,2,6,0.25,5,17,0.227272727272727,6,25,0.193548387096774,9,33,0.214285714285714,12,51,0.19047619047619,12,54,0.181818181818182,14,66,0.175,14,80,0.148936170212766,15,89,0.144230769230769,16,94,0.145454545454545,25,133,0.158227848101266,30,160,0.157894736842105,38,196,0.162393162393162,51,246,0.171717171717172,63,309,0.169354838709677,78,375,0.172185430463576,85,428,0.165692007797271
