"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","Tryps","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7370","79772013","79772013-2012-11-07",30,50,2012-11-07,"HA1",2012,"M","Adult",0,0,0,6,0,2,26,0.0714285714285714,7,42,0.142857142857143,9,49,0.155172413793103,14,78,0.152173913043478,18,99,0.153846153846154,19,108,0.149606299212598,25,140,0.151515151515152,32,179,0.151658767772512,35,191,0.154867256637168,63,295,0.175977653631285,88,380,0.188034188034188,98,425,0.187380497131931,107,485,0.180743243243243,115,503,0.186084142394822,115,503,0.186084142394822,115,503,0.186084142394822
"7371","79772013","79772013-2012-11-21",0,90,2012-11-21,"HA1",2012,"M","Adult",1,0,4,5,0.444444444444444,7,28,0.2,10,42,0.192307692307692,11,48,0.186440677966102,15,67,0.182926829268293,15,75,0.166666666666667,16,87,0.155339805825243,21,106,0.165354330708661,22,117,0.158273381294964,25,121,0.171232876712329,32,164,0.163265306122449,40,206,0.16260162601626,61,251,0.195512820512821,75,314,0.19280205655527,88,393,0.182952182952183,106,472,0.183391003460208,115,513,0.18312101910828
"7372","79772013","79772013-2012-12-04",10,20,2012-12-04,"HA1",2012,"M","Adult",0,0,1,9,0.1,4,47,0.0784313725490196,6,77,0.072289156626506,8,93,0.0792079207920792,14,122,0.102941176470588,14,140,0.0909090909090909,15,149,0.0914634146341463,16,165,0.0883977900552486,16,177,0.0829015544041451,17,187,0.0833333333333333,30,245,0.109090909090909,40,286,0.122699386503067,48,337,0.124675324675325,71,394,0.152688172043011,90,480,0.157894736842105,117,558,0.173333333333333,122,588,0.171830985915493
"7401","79774854","79774854-2012-08-29",50,50,2012-08-29,"HA1",2012,"F","Adult",0,1,0,0,NA,2,6,0.25,2,10,0.166666666666667,2,16,0.111111111111111,2,22,0.0833333333333333,2,27,0.0689655172413793,4,32,0.111111111111111,7,41,0.145833333333333,8,49,0.140350877192982,8,53,0.131147540983607,19,98,0.162393162393162,29,159,0.154255319148936,33,173,0.160194174757282,33,179,0.155660377358491,33,179,0.155660377358491,33,179,0.155660377358491,33,179,0.155660377358491
"7421","79775849","79775849-2012-09-27",90,30,2012-09-27,"HA1",2012,"F","Adult",0,0,0,3,0,1,14,0.0666666666666667,4,22,0.153846153846154,5,24,0.172413793103448,9,31,0.225,9,35,0.204545454545455,10,40,0.2,11,47,0.189655172413793,14,55,0.202898550724638,18,59,0.233766233766234,21,81,0.205882352941176,30,102,0.227272727272727,37,137,0.21264367816092,48,181,0.209606986899563,55,227,0.195035460992908,62,271,0.186186186186186,66,277,0.192419825072886
"7422","79775849","79775849-2012-10-09",100,40,2012-10-09,"HA1",2012,"F","Adult",0,1,0,4,0,0,15,0,1,21,0.0454545454545455,3,28,0.0967741935483871,7,34,0.170731707317073,8,39,0.170212765957447,12,47,0.203389830508475,17,54,0.23943661971831,20,61,0.246913580246914,23,68,0.252747252747253,29,105,0.216417910447761,38,127,0.23030303030303,45,161,0.218446601941748,57,189,0.231707317073171,60,234,0.204081632653061,72,286,0.201117318435754,76,333,0.185819070904645
"7423","79775849","79775849-2012-10-23",100,20,2012-10-23,"HA1",2012,"F","Adult",0,0,1,5,0.166666666666667,5,20,0.2,6,27,0.181818181818182,9,40,0.183673469387755,10,48,0.172413793103448,11,53,0.171875,12,56,0.176470588235294,13,62,0.173333333333333,16,68,0.19047619047619,17,75,0.184782608695652,27,101,0.2109375,43,132,0.245714285714286,52,160,0.245283018867925,64,207,0.236162361623616,79,264,0.230320699708455,89,319,0.218137254901961,98,373,0.208067940552017
"7425","79775849","79775849-2012-11-20",80,40,2012-11-20,"HA1",2012,"F","Adult",0,0,1,4,0.2,6,14,0.3,8,33,0.195121951219512,12,50,0.193548387096774,20,82,0.196078431372549,24,100,0.193548387096774,27,110,0.197080291970803,34,127,0.211180124223602,44,150,0.22680412371134,45,163,0.216346153846154,64,222,0.223776223776224,80,286,0.218579234972678,95,361,0.208333333333333,111,442,0.200723327305606,117,532,0.180277349768875,124,547,0.184798807749627,124,547,0.184798807749627
"7455","79776883","79776883-2012-10-24",100,90,2012-10-24,"HA1",2012,"M","Adult",0,0,2,5,0.285714285714286,6,14,0.3,8,21,0.275862068965517,10,30,0.25,14,46,0.233333333333333,15,48,0.238095238095238,19,57,0.25,24,66,0.266666666666667,25,71,0.260416666666667,25,76,0.247524752475248,43,104,0.292517006802721,50,127,0.282485875706215,61,157,0.279816513761468,74,200,0.27007299270073,79,265,0.229651162790698,97,321,0.232057416267943,105,366,0.222929936305732
"7456","79776883","79776883-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",1,1,1,4,0.2,9,22,0.290322580645161,14,45,0.23728813559322,18,54,0.25,23,77,0.23,28,85,0.247787610619469,31,88,0.260504201680672,35,96,0.267175572519084,43,108,0.28476821192053,44,117,0.273291925465839,54,147,0.26865671641791,65,186,0.258964143426295,76,244,0.2375,86,311,0.216624685138539,102,377,0.21294363256785,113,449,0.201067615658363,114,478,0.192567567567568
"7493","79778567","79778567-2012-10-10",10,0,2012-10-10,"HA1",2012,"F","Adult",0,0,1,4,0.2,1,21,0.0454545454545455,2,31,0.0606060606060606,2,43,0.0444444444444444,4,57,0.0655737704918033,4,61,0.0615384615384615,5,68,0.0684931506849315,6,75,0.0740740740740741,7,81,0.0795454545454545,10,86,0.104166666666667,13,110,0.105691056910569,17,145,0.104938271604938,26,173,0.130653266331658,35,206,0.145228215767635,45,237,0.159574468085106,63,282,0.182608695652174,77,325,0.191542288557214
"7512","79779379","79779379-2012-08-28",100,20,2012-08-28,"HA1",2012,"M","Adult",0,0,1,3,0.25,2,12,0.142857142857143,3,14,0.176470588235294,3,15,0.166666666666667,4,19,0.173913043478261,4,22,0.153846153846154,4,22,0.153846153846154,4,25,0.137931034482759,6,28,0.176470588235294,7,28,0.2,8,38,0.173913043478261,12,55,0.17910447761194,13,64,0.168831168831169,17,81,0.173469387755102,22,109,0.16793893129771,25,134,0.157232704402516,28,157,0.151351351351351
"7545","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult",0,1,0,1,0,3,7,0.3,4,14,0.222222222222222,7,24,0.225806451612903,14,38,0.269230769230769,17,49,0.257575757575758,17,58,0.226666666666667,19,75,0.202127659574468,22,88,0.2,26,96,0.213114754098361,40,188,0.175438596491228,60,244,0.197368421052632,74,306,0.194736842105263,79,335,0.190821256038647,80,340,0.19047619047619,80,340,0.19047619047619,80,340,0.19047619047619
"7562","79782524","79782524-2012-10-24",40,100,2012-10-24,"HA1",2012,"F","Adult",1,0,3,5,0.375,10,17,0.37037037037037,10,21,0.32258064516129,16,31,0.340425531914894,16,40,0.285714285714286,18,43,0.295081967213115,21,52,0.287671232876712,26,70,0.270833333333333,31,84,0.269565217391304,35,99,0.261194029850746,55,162,0.253456221198157,64,201,0.241509433962264,82,247,0.249240121580547,88,283,0.237196765498652,95,341,0.217889908256881,99,389,0.202868852459016,107,436,0.197053406998158
"7563","79782524","79782524-2012-11-07",80,70,2012-11-07,"HA1",2012,"F","Adult",0,1,1,3,0.25,6,17,0.260869565217391,13,31,0.295454545454545,19,45,0.296875,33,74,0.308411214953271,36,89,0.288,37,101,0.268115942028986,43,120,0.263803680981595,52,135,0.27807486631016,53,139,0.276041666666667,66,198,0.25,75,262,0.222551928783383,90,318,0.220588235294118,104,386,0.212244897959184,113,456,0.198594024604569,115,493,0.189144736842105,115,503,0.186084142394822
"7565","79782524","79782524-2012-11-21",100,100,2012-11-21,"HA1",2012,"F","Adult",0,1,0,1,0,3,13,0.1875,4,15,0.210526315789474,7,34,0.170731707317073,10,46,0.178571428571429,11,50,0.180327868852459,14,61,0.186666666666667,22,74,0.229166666666667,25,79,0.240384615384615,30,86,0.258620689655172,42,115,0.267515923566879,53,150,0.261083743842365,66,190,0.2578125,77,239,0.243670886075949,88,312,0.22,105,395,0.21,113,447,0.201785714285714
"7566","79782524","79782524-2012-12-18",90,90,2012-12-18,"HA1",2012,"F","Adult",0,0,1,3,0.25,7,33,0.175,13,63,0.171052631578947,21,78,0.212121212121212,27,100,0.21259842519685,28,104,0.212121212121212,30,118,0.202702702702703,38,132,0.223529411764706,44,141,0.237837837837838,45,148,0.233160621761658,58,181,0.242677824267782,71,224,0.240677966101695,80,283,0.220385674931129,87,382,0.185501066098081,110,470,0.189655172413793,124,558,0.181818181818182,126,606,0.172131147540984
"7589","79783063","79783063-2012-12-06",100,90,2012-12-06,"HA1",2012,"F","Adult",0,0,2,12,0.142857142857143,7,25,0.21875,10,37,0.212765957446809,12,50,0.193548387096774,17,75,0.184782608695652,19,80,0.191919191919192,24,93,0.205128205128205,29,109,0.210144927536232,30,116,0.205479452054795,30,123,0.196078431372549,50,165,0.232558139534884,60,203,0.228136882129278,72,247,0.225705329153605,87,316,0.215880893300248,93,407,0.186,111,484,0.186554621848739,122,547,0.182361733931241
"7590","79783063","79783063-2012-12-19",100,90,2012-12-19,"HA1",2012,"F","Adult",0,0,2,13,0.133333333333333,9,28,0.243243243243243,12,40,0.230769230769231,14,53,0.208955223880597,19,79,0.193877551020408,21,84,0.2,26,98,0.209677419354839,31,114,0.213793103448276,32,121,0.209150326797386,32,131,0.196319018404908,52,174,0.230088495575221,62,213,0.225454545454545,74,261,0.22089552238806,89,332,0.211401425178147,96,427,0.183556405353728,115,511,0.18370607028754,126,576,0.179487179487179
"7591","79783071","79783071-2012-10-09",0,40,2012-10-09,"HA1",2012,"F","NotAdult",0,0,0,3,0,1,14,0.0666666666666667,2,21,0.0869565217391304,5,33,0.131578947368421,6,48,0.111111111111111,6,58,0.09375,7,71,0.0897435897435897,11,91,0.107843137254902,13,104,0.111111111111111,13,119,0.0984848484848485,24,158,0.131868131868132,28,183,0.132701421800948,41,212,0.162055335968379,47,239,0.164335664335664,60,270,0.181818181818182,69,307,0.183510638297872,78,338,0.1875
"7622","79785369","79785369-2012-10-10",30,10,2012-10-10,"HA1",2012,"M","NotAdult",0,0,1,2,0.333333333333333,3,18,0.142857142857143,3,30,0.0909090909090909,4,39,0.0930232558139535,7,56,0.111111111111111,8,64,0.111111111111111,8,75,0.0963855421686747,13,99,0.116071428571429,15,113,0.1171875,15,119,0.111940298507463,22,151,0.127167630057803,31,187,0.142201834862385,43,217,0.165384615384615,55,266,0.171339563862928,73,303,0.194148936170213,91,350,0.206349206349206,94,362,0.206140350877193
"7659","79786360","79786360-2012-08-28",30,10,2012-08-28,"HA1",2012,"F","NotAdult",1,1,0,2,0,0,7,0,0,15,0,0,22,0,1,28,0.0344827586206897,2,32,0.0588235294117647,2,36,0.0526315789473684,4,48,0.0769230769230769,5,55,0.0833333333333333,5,60,0.0769230769230769,6,76,0.0731707317073171,9,97,0.0849056603773585,14,110,0.112903225806452,16,128,0.111111111111111,20,143,0.122699386503067,27,160,0.144385026737968,29,167,0.147959183673469
"7660","79786360","79786360-2012-08-15",20,0,2012-08-15,"HA1",2012,"F","NotAdult",0,0,0,1,0,1,7,0.125,1,15,0.0625,1,23,0.0416666666666667,1,28,0.0344827586206897,1,35,0.0277777777777778,1,36,0.027027027027027,2,39,0.0487804878048781,2,41,0.0465116279069767,3,43,0.0652173913043478,5,55,0.0833333333333333,5,70,0.0666666666666667,8,78,0.0930232558139535,12,89,0.118811881188119,14,106,0.116666666666667,15,121,0.110294117647059,18,133,0.119205298013245
"7662","79786360","79786360-2012-09-11",30,30,2012-09-11,"HA1",2012,"F","Adult",1,1,0,1,0,0,6,0,1,16,0.0588235294117647,3,27,0.1,7,43,0.14,8,51,0.135593220338983,8,61,0.115942028985507,9,76,0.105882352941176,12,89,0.118811881188119,12,92,0.115384615384615,17,121,0.123188405797101,22,140,0.135802469135802,29,163,0.151041666666667,40,197,0.168776371308017,45,209,0.177165354330709,47,211,0.182170542635659,47,211,0.182170542635659
"7670","79786569","79786569-2012-09-27",60,100,2012-09-27,"HA1",2012,"M","Adult",0,1,4,2,0.666666666666667,5,11,0.3125,8,15,0.347826086956522,10,26,0.277777777777778,13,33,0.282608695652174,13,35,0.270833333333333,17,42,0.288135593220339,18,46,0.28125,18,51,0.260869565217391,18,59,0.233766233766234,33,90,0.268292682926829,44,125,0.260355029585799,51,152,0.251231527093596,57,179,0.241525423728814,60,217,0.216606498194946,65,243,0.211038961038961,66,272,0.195266272189349
"7671","79786569","79786569-2012-10-09",60,70,2012-10-09,"HA1",2012,"M","Adult",0,1,0,1,0,3,8,0.272727272727273,6,14,0.3,8,20,0.285714285714286,14,38,0.269230769230769,20,46,0.303030303030303,29,54,0.349397590361446,34,72,0.320754716981132,38,96,0.283582089552239,38,106,0.263888888888889,56,175,0.242424242424242,64,230,0.217687074829932,72,272,0.209302325581395,79,321,0.1975,80,333,0.193704600484261,80,340,0.19047619047619,80,340,0.19047619047619
"7672","79786569","79786569-2012-10-23",70,100,2012-10-23,"HA1",2012,"M","Adult",1,0,2,3,0.4,11,21,0.34375,12,30,0.285714285714286,14,37,0.274509803921569,17,45,0.274193548387097,18,52,0.257142857142857,21,60,0.259259259259259,29,67,0.302083333333333,37,80,0.316239316239316,43,90,0.323308270676692,52,121,0.300578034682081,61,143,0.299019607843137,73,200,0.267399267399267,84,256,0.247058823529412,91,301,0.232142857142857,100,347,0.223713646532438,105,385,0.214285714285714
"7674","79786569","79786569-2012-12-04",70,100,2012-12-04,"HA1",2012,"M","Adult",0,0,2,5,0.285714285714286,11,32,0.255813953488372,12,42,0.222222222222222,15,52,0.223880597014925,19,64,0.228915662650602,22,78,0.22,27,89,0.232758620689655,36,109,0.248275862068966,44,124,0.261904761904762,52,141,0.269430051813472,64,190,0.251968503937008,74,222,0.25,88,305,0.223918575063613,99,387,0.203703703703704,106,449,0.190990990990991,119,517,0.187106918238994,125,570,0.179856115107914
"7675","79786569","79786569-2012-11-20",60,90,2012-11-20,"HA1",2012,"M","Adult",0,0,0,4,0,11,19,0.366666666666667,16,34,0.32,22,42,0.34375,28,68,0.291666666666667,30,73,0.29126213592233,34,82,0.293103448275862,46,110,0.294871794871795,53,122,0.302857142857143,56,133,0.296296296296296,73,214,0.254355400696864,88,281,0.238482384823848,98,348,0.219730941704036,106,411,0.205029013539652,118,467,0.201709401709402,123,528,0.188940092165899,124,547,0.184798807749627
"7676","79786569","79786569-2012-12-19",50,50,2012-12-19,"HA1",2012,"M","Adult",0,0,1,1,0.5,5,16,0.238095238095238,11,27,0.289473684210526,12,49,0.19672131147541,20,78,0.204081632653061,23,91,0.201754385964912,27,110,0.197080291970803,36,146,0.197802197802198,42,179,0.190045248868778,43,191,0.183760683760684,84,372,0.184210526315789,110,595,0.156028368794326,124,658,0.158567774936061,130,688,0.158924205378973,130,688,0.158924205378973,130,688,0.158924205378973,130,688,0.158924205378973
"7703","79788371","79788371-2012-09-11",10,0,2012-09-11,"HA1",2012,"M","Adult",0,0,1,3,0.25,1,17,0.0555555555555556,2,23,0.08,2,29,0.0645161290322581,3,39,0.0714285714285714,3,42,0.0666666666666667,4,47,0.0784313725490196,4,50,0.0740740740740741,4,54,0.0689655172413793,5,58,0.0793650793650794,6,70,0.0789473684210526,10,92,0.0980392156862745,14,108,0.114754098360656,17,129,0.116438356164384,23,143,0.13855421686747,30,169,0.150753768844221,37,190,0.162995594713656
"7712","79789358","79789358-2012-10-24",0,60,2012-10-24,"HA1",2012,"M","Adult",0,0,0,5,0,2,17,0.105263157894737,5,27,0.15625,5,45,0.1,8,66,0.108108108108108,11,70,0.135802469135802,16,82,0.163265306122449,18,105,0.146341463414634,19,115,0.141791044776119,24,130,0.155844155844156,36,186,0.162162162162162,46,238,0.161971830985915,57,276,0.171171171171171,74,308,0.193717277486911,86,349,0.197701149425287,94,390,0.194214876033058,103,431,0.192883895131086
"7713","79789358","79789358-2012-11-20",10,30,2012-11-20,"HA1",2012,"M","Adult",0,0,2,7,0.222222222222222,5,30,0.142857142857143,9,56,0.138461538461538,10,72,0.121951219512195,11,109,0.0916666666666667,13,119,0.0984848484848485,15,136,0.0993377483443709,16,175,0.0837696335078534,19,194,0.0892018779342723,22,209,0.0952380952380952,34,252,0.118881118881119,44,290,0.131736526946108,64,340,0.158415841584158,81,408,0.165644171779141,103,466,0.181019332161687,118,527,0.182945736434109,124,546,0.185074626865672
"7730","79790568","79790568-2012-09-27",90,70,2012-09-27,"HA1",2012,"M","Adult",0,0,4,2,0.666666666666667,5,11,0.3125,8,19,0.296296296296296,9,22,0.290322580645161,15,29,0.340909090909091,18,34,0.346153846153846,19,37,0.339285714285714,21,50,0.295774647887324,23,57,0.2875,23,60,0.27710843373494,30,86,0.258620689655172,40,109,0.268456375838926,45,143,0.23936170212766,51,185,0.216101694915254,61,223,0.214788732394366,66,263,0.200607902735562,67,276,0.19533527696793
"7731","79790568","79790568-2012-10-09",90,80,2012-10-09,"HA1",2012,"M","Adult",0,1,0,4,0,8,16,0.333333333333333,12,29,0.292682926829268,14,33,0.297872340425532,17,50,0.253731343283582,20,55,0.266666666666667,23,57,0.2875,25,62,0.28735632183908,31,70,0.306930693069307,31,75,0.292452830188679,36,96,0.272727272727273,44,122,0.265060240963855,53,156,0.253588516746411,59,206,0.222641509433962,70,257,0.214067278287462,78,304,0.204188481675393,79,324,0.196029776674938
"7732","79790568","79790568-2012-10-23",100,90,2012-10-23,"HA1",2012,"M","Adult",0,0,2,3,0.4,6,12,0.333333333333333,8,19,0.296296296296296,10,28,0.263157894736842,14,44,0.241379310344828,15,46,0.245901639344262,19,54,0.26027397260274,24,62,0.27906976744186,25,67,0.271739130434783,25,72,0.257731958762887,43,99,0.302816901408451,50,120,0.294117647058824,60,146,0.29126213592233,73,186,0.281853281853282,78,247,0.24,96,299,0.243037974683544,103,341,0.231981981981982
"7733","79790568","79790568-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",0,0,1,4,0.2,9,22,0.290322580645161,14,45,0.23728813559322,18,54,0.25,23,77,0.23,28,85,0.247787610619469,31,88,0.260504201680672,35,96,0.267175572519084,43,108,0.28476821192053,44,117,0.273291925465839,54,147,0.26865671641791,65,186,0.258964143426295,76,244,0.2375,86,311,0.216624685138539,102,377,0.21294363256785,113,449,0.201067615658363,114,478,0.192567567567568
"7734","79790568","79790568-2012-12-04",100,90,2012-12-04,"HA1",2012,"M","Adult",0,0,2,11,0.153846153846154,7,22,0.241379310344828,10,34,0.227272727272727,12,46,0.206896551724138,17,69,0.197674418604651,19,74,0.204301075268817,24,85,0.220183486238532,29,98,0.228346456692913,30,104,0.223880597014925,30,110,0.214285714285714,50,149,0.251256281407035,60,186,0.24390243902439,72,229,0.239202657807309,87,294,0.228346456692913,93,376,0.198294243070362,111,449,0.198214285714286,122,504,0.194888178913738
"7735","79790568","79790568-2012-11-21",90,60,2012-11-21,"HA1",2012,"M","Adult",1,0,2,5,0.285714285714286,7,17,0.291666666666667,12,29,0.292682926829268,19,45,0.296875,27,78,0.257142857142857,29,80,0.26605504587156,32,93,0.256,39,125,0.23780487804878,47,138,0.254054054054054,49,146,0.251282051282051,66,222,0.229166666666667,79,264,0.230320699708455,87,322,0.212713936430318,103,374,0.215932914046122,115,474,0.195246179966044,124,547,0.184798807749627,124,568,0.179190751445087
"7753","79792086","79792086-2012-12-18",100,20,2012-12-18,"HA1",2012,"F","Adult",0,0,1,11,0.0833333333333333,6,37,0.13953488372093,7,48,0.127272727272727,10,68,0.128205128205128,12,79,0.131868131868132,13,89,0.127450980392157,14,94,0.12962962962963,15,101,0.129310344827586,18,109,0.141732283464567,20,120,0.142857142857143,32,165,0.16243654822335,50,213,0.190114068441065,61,264,0.187692307692308,77,337,0.185990338164251,94,438,0.176691729323308,110,526,0.172955974842767,119,611,0.163013698630137
"7771","79792581","79792581-2012-10-11",90,70,2012-10-11,"HA1",2012,"F","Adult",0,0,4,3,0.571428571428571,8,18,0.307692307692308,11,32,0.255813953488372,14,38,0.269230769230769,22,49,0.309859154929577,26,58,0.30952380952381,29,64,0.311827956989247,34,82,0.293103448275862,38,90,0.296875,38,95,0.285714285714286,49,129,0.275280898876405,63,162,0.28,73,202,0.265454545454545,82,250,0.246987951807229,94,300,0.238578680203046,100,358,0.218340611353712,102,378,0.2125
